beach,yyyy,mm,dd,transect_id,position_start,position_end,event,material,structure,cm_from_tape,size_cm,quantity,comments
cracker tom,2021,6,13,1,0,4.3,WR,,,,,,
cracker tom,2021,6,13,1,0.1,,D,FO,,25,1,1,orange foam 
cracker tom,2021,6,13,1,8.9,50,WP,,,,,,
cracker tom,2021,6,13,1,16,,WO,O,,25,,,horseshoecrab
cracker tom,2021,6,13,1,29.5,,WO,O,,1.7,,,Foam Buoy about 1.7m away from transect 
cracker tom,2021,6,13,1,46,47,PL,,,25,1,1,
cracker tom,2021,6,13,2,0,11,WL,,,,,,
cracker tom,2021,6,13,2,5,,,P,,125,10,1,cardboard box
cracker tom,2021,6,13,2,6.5,,FP,,,On Tape,8,1,ribbon
cracker tom,2021,6,13,2,8,,FP,,,25,13,1,rubber glove 
cracker tom,2021,6,13,2,20,50,WP,,,,,,
cracker tom,2021,6,13,2,42.6,,,P,,75,20,1,paper cup 
cracker tom,2021,6,13,2,46,50,PL,,,,,,
cracker tom,2021,6,13,3,0,1.5,WL,,,,,,
cracker tom,2021,6,13,3,21.4,50,WP,,,,,,
cracker tom,2021,6,13,3,22.8,,,Styrofoam ,,168,,,"not part of the tansect, 15 cm out"
cracker tom,2021,6,13,3,28.4,,,FP,,60,8,1,
cracker tom,2021,6,13,3,30,,,FP,,100,18,1,
cracker tom,2021,6,13,3,45.3,,,O,,150,4,1,shotgun shell 
cracker tom,2021,6,13,4,0,10,WL,,,,,,
cracker tom,2021,6,13,4,26,,O,O,O,43,42,1,Horseshoe crab
cracker tom,2021,6,13,4,36,,D,R,F,100,26,1,Piece of rope
cracker tom,2021,6,13,5,0,7,WL,,,,,,
cracker tom,2021,6,13,6,0,10,WL,,,,,,
cracker tom,2021,6,13,6,43,,O,O,O,34,39,1,Horeshoe crab
cracker tom,2021,6,13,7,0,9,WL,,,,,,
cracker tom,2021,6,13,7,30,33,WP,,,,,,
cracker tom,2021,6,13,8,0,8,WL,,,,,,
cracker tom,2021,6,13,8,27,,O,O,O,16,21,1,Bird bone
cracker tom,2021,6,13,9,0,4,WR,,,,,,
cracker tom,2021,6,13,9,11,,WO,,,,,,
cracker tom,2021,6,13,9,28,,D,FO,F,70,8,1,
cracker tom,2021,6,13,9,44,,D,HP,F,60,1,1,
cracker tom,2021,6,13,10,0,10.4,WR,,,,,,
cracker tom,2021,6,13,10,12.3,,D,FO,O,2,10,1,
cracker tom,2021,6,13,10,13.05,,D,FP,F,70,4,1,
cracker tom,2021,6,13,10,36.6,50,WO,,,,,,
cracker tom,2021,6,13,11,0,15.2,WR,,,,,,
cracker tom,2021,6,13,11,8.7,,D,P,F,38,3,1,
cracker tom,2021,6,13,11,21.6,,WP,,,,112,1,
cracker tom,2021,6,13,11,26.6,50,WR,,,,,,
cracker tom,2021,6,13,11,46.4,,D,FO,F,118,20,1,
cracker tom,2021,6,13,12,0,9,WR,,,,,,
cracker tom,2021,6,13,12,10,17.6,WR,,,,,,
cracker tom,2021,6,13,12,14.7,,S,,,150,,1,
cracker tom,2021,6,13,12,31.05,,D,HP,BO,80,20,1,
cracker tom,2021,6,13,13,0,17.2,WL,,,,,,
cracker tom,2021,6,13,13,1.8,3.4,T,,,,,,
cracker tom,2021,6,13,13,11.4,,T,,,,,,
cracker tom,2021,6,13,13,17.8,19.2,T,,,,,,
cracker tom,2021,6,13,13,20.7,21.2,T,,,,,,
cracker tom,2021,6,13,13,22.8,27.3,WP,,,,,,
cracker tom,2021,6,13,13,30,33.1,T,,,,,,
cracker tom,2021,6,13,13,36.3,,PL,,,,,,
cracker tom,2021,6,13,13,41.2,50,WP,,,,,,
cracker tom,2021,6,13,,,,,,,,,,
cracker tom,2021,6,13,14,0,3.3,WL,,,,,,
cracker tom,2021,6,13,14,10.58,12.2,WP,,,,,,
cracker tom,2021,6,13,14,12.8,12.8,T,,,,,,
cracker tom,2021,6,13,14,21.6,25,WP,,,,,,
cracker tom,2021,6,13,14,26.5,26.5,WP,,,,,,
cracker tom,2021,6,13,14,31,31,WP,,,,,,
cracker tom,2021,6,13,14,31.6,31.6,T,,,,,,
cracker tom,2021,6,13,14,35.5,36.9,WP,,,,,,
cracker tom,2021,6,13,14,40.9,44.5,WP,,,,,,
cracker tom,2021,6,13,14,45.5,50,WP,,,,,,
cracker tom,2021,6,13,,,,,,,,,,
cracker tom,2021,6,13,15,0,88.9,WL,,,,,,
cracker tom,2021,6,13,15,19.2,19.2,D,P,F,50,3,1,
cracker tom,2021,6,13,15,50.4,50.4,D,FO,F,0,6,1,
cracker tom,2021,6,13,15,67.7,71.7,L,,,,,,
cracker tom,2021,6,13,15,69.7,69.7,D,FP,O,60,25,1,
cracker tom,2021,6,13,15,83.3,85.5,T,,,,,,
cracker tom,2021,6,13,15,83.3,83.3,D,FB,O,10,6,1,
cracker tom,2021,6,13,15,85.9,88.9,T,,,,,,
cracker tom,2021,6,13,15,87.7,87.7,WP,,,,,,
cracker tom,2021,6,13,15,90.6,91.4,T,,,,,,
cracker tom,2021,6,13,15,93.9,94.6,T,,,,,,
cracker tom,2021,6,13,15,96.3,100,WP,,,,,,
cracker tom,2021,6,13,15,97,97,D,HP,BO,25,8,1,
cracker tom,2021,6,13,,,,,,,,,,
cracker tom,2021,6,13,16,0,2,WP,,,,,,
cracker tom,2021,6,13,16,7,7.8,WP,,,,,,
cracker tom,2021,6,13,16,13.5,14.8,T,,,,,,
cracker tom,2021,6,13,16,18.1,20,T,,,,,,
cracker tom,2021,6,13,16,20,,T,,,,,,
cracker tom,2021,6,13,16,22,,T,,,,,,
cracker tom,2021,6,13,16,21.1,,D,R,L,0,25,1,
cracker tom,2021,6,13,16,24.5,,WP,,,,,,
cracker tom,2021,6,13,16,28.3,,WL,,,,,,
cracker tom,2021,6,13,16,32,33.2,T,,,,,,
cracker tom,2021,6,13,16,35.5,,T,,,,,,
cracker tom,2021,6,13,16,38.2,,T,,,,,,
cracker tom,2021,6,13,16,40.3,,T,,,,,,
cracker tom,2021,6,13,16,44.4,50,WP,,,,,,
cracker tom,2021,6,13,17,0,9,WR,,,,,,
cracker tom,2021,6,13,17,9,27.5,WR,,,,,,WR = No rack line; plain beach
cracker tom,2021,6,13,17,27.5,37.5,D-F,,,,,,D-F = Transition to Dune-Forest
cracker tom,2021,6,13,17,33,36,WP,,,75,100,1,
cracker tom,2021,6,13,17,37.5,37.5,T,,,0,25,1,
cracker tom,2021,6,13,17,47,47,WP,,,25,100,1,
cracker tom,2021,6,13,17,50,50,Du ,,,,,,Du = Dune; END
cracker tom,2021,6,13,18,0,6,WR,,,,,,
cracker tom,2021,6,13,18,7.3,7.3,D,FP,BO,,,,Outside
cracker tom,2021,6,13,18,16,16,T,,,0,175,1,
cracker tom,2021,6,13,18,23,24,WO,,,100,0.1,1,
cracker tom,2021,6,13,18,40,40,WP,,,25,250,1,
cracker tom,2021,6,13,18,42,50,F,,,,,,
cracker tom,2021,6,13,18,46.5,46.5,T,,,75,100,1,
cracker tom,2021,6,13,18,46.8,46.8,D,FP,BO/F,125,20,1,
cracker tom,2021,6,13,18,50,50,B,,,,,,END
cracker tom,2021,6,13,19,0,22,WR,,,,,,
cracker tom,2021,6,13,19,20.2,20.2,D,FO,F,125,10,1,
cracker tom,2021,6,13,19,24.5,24.5,L,,,5,375,1,
cracker tom,2021,6,13,19,39,50,D-F,,,,,,
cracker tom,2021,6,13,19,42.5,42.5,D ,HP,BO,,,,Outside Transect
cracker tom,2021,6,13,19,44.5,44.5,D,FO,O,,,,Outside Transect
cracker tom,2021,6,13,19,50,50,DF,,,,,,End
cracker tom,2021,6,13,20,0,20,WR,,,,,,
cracker tom,2021,6,13,20,47.3,47.3,T,,,0,100,1,
cracker tom,2021,6,13,20,49.2,WP,,,,0,300,1,End
middle,2021,6,16,1,0,1,WL,,,,,,
middle,2021,6,16,1,42.5,,D,FP,F,0.25,1.5,1,Balloon string
middle,2021,6,16,2,0,4,WL,,,,,,
middle,2021,6,16,2,27,,O,O,,50,35,1,Horseshoe crab
middle,2021,6,16,2,33.5,34.5,WP,,,,,,
middle,2021,6,16,2,41.5,,O,O,,150,22,1,Horseshoe crab
middle,2021,6,16,3,0,4,WL,,,,,,
middle,2021,6,16,4,0,1,WL,,,,,,
middle,2021,6,16,4,43.5,,D,O,BO,150,25,1,Rum bottle
middle,2021,6,16,5,0,3.6,WL,,,,,,
middle,2021,6,16,5,17.7,26.2,WO,,,,,,
middle,2021,6,16,5,28.7,50,WO,,,,,,
middle,2021,6,16,5,45.62,,D,O,O,70,11,1,Other = Aluminum Can
middle,2021,6,16,5,47.26,,D,HP,C,58,12.5,1,
middle,2021,6,16,6,0,2.4,WL,,,,,,
middle,2021,6,16,6,16.27,27.38,WO,,,,,,
middle,2021,6,16,6,32.25,50,WO,,,,,,
middle,2021,6,16,6,47.55,,D,FA,O,0.25,127,1,Large piece of carpet like plastic fabric
middle,2021,6,16,7,0,5,WL,,,,,,
middle,2021,6,16,7,13.32,,O,,,1.5,20,1,Other = Horseshoe Crab
middle,2021,6,16,7,16,48,WO,,,,,,
middle,2021,6,16,8,0,3.3,WL,,,,,,
middle,2021,6,16,8,19.22,25.7,WO,,,,,,
middle,2021,6,16,8,25.35,46.7,WO,,,,,,
middle,2021,6,16,9,0,18.3,WL,,,,,,
middle,2021,6,16,9,11.2,11.2,D,O,O,75,10,1,
middle,2021,6,16,9,22.3,50,WO,,,,,,
middle,2021,6,16,9,24.8,24.8,D,FP,BA,0,10,1,
middle,2021,6,16,9,28.2,28.2,D,HP,BO,30,15,1,
middle,2021,6,16,10,0,4.2,WL,,,,,,
middle,2021,6,16,10,6.2,27.4,WO,,,,,,
middle,2021,6,16,10,9.2,9.2,D,FP,0,75,25,1,Balloon
middle,2021,6,16,10,31.5,31.7,WP,,,,,,
middle,2021,6,16,10,35.9,50,WO,,,,,,
middle,2021,6,16,10,40.7,40.7,D,HP,BA,100,15,1,
middle,2021,6,16,11,0,6.4,WL,,,,,,
middle,2021,6,16,11,16.6,19.2,WO,,,,,,
middle,2021,6,16,11,24.6,37.8,WO,,,,,,
middle,2021,6,16,11,52.5,54.4,WO,,,,,,
middle,2021,6,16,11,59.14,85,WO,,,,,,
middle,2021,6,16,11,60.9,60.9,PL,,,,,,
middle,2021,6,16,11,71.8,71.8,PL,,,,,,
middle,2021,6,16,11,82.3,82.3,PL,,,,,,
middle,2021,6,16,12,0,4.4,WL,,,,,,
middle,2021,6,16,12,12.6,14.2,WO,,,,,,
middle,2021,6,16,12,36,50,WO,,,,,,
middle,2021,6,16,13,0,3.5,WL,,,,,,
middle,2021,6,16,13,0,50,WP,,,,,,
middle,2021,6,16,13,23.1,,,HP,,5,8,1,
middle,2021,6,16,13,25.8,33.3,PL,,,,,,
middle,2021,6,16,13,36,50,S,,,,,,
middle,2021,6,16,13,44.86,,,HP,,40,3,1,
middle,2021,6,16,14,0,7.9,WL,,,,,,
middle,2021,6,16,14,22,50,WP,,,,,,
middle,2021,6,16,15,0,9.4,WL,,,,,,
middle,2021,6,16,15,31.3,50,WP,,,,,,
middle,2021,6,16,15,44.8,46.86,L,,,,,,
middle,2021,6,16,16,0,19.8,WL,,,,,,
