beach,yyyy,mm,dd,transect_id,latitude,longitude,main_observer,other_observers,conditions,length_m,base_width,terminus,start_time,comment
crackertom,2021,6,13,1,31.6245,-81.081,RMA,NTJ,PC,50,43.6,D,10:33,
crackertom,2021,6,13,2,31.6224,-81.223,RMA,NTJ,PC,50,45.2,D,10:58,
crackertom,2021,6,13,3,31.6256,-31.081,RMA,NTJ ,PC,50,44.8,D,10:16,
crackertom,2021,6,13,4,31.619,-81.1609,RCT,GRG,C,50,47.5,D,1101,
crackertom,2021,6,13,5,31.6277,-81.135,GRG,RCT,C,50,46.3,D ,1027,
crackertom,2021,6,13,6,31.6263,-81.136,GRG,RCT,C,50,37.3,D,1042,
crackertom,2021,6,13,7,31.6287,-81.1344,GRG,RCT,C,50,36.3,D,10:15,
crackertom,2021,6,13,8,31.6267,-81.1352,GRG,RCT,C,50,39.5,D,10:35,
crackertom,2021,6,13,9,31.61844,-81.13818,JLO,GHBR,C,50,41.4,D,1110,
crackertom,2021,6,13,10,31.6147,-81.14063,JLO,GHBR,C,50,48.3,D,1031,
crackertom,2021,6,13,11,31.6159,-81.12998,GHBR,JLO,C,31.3,30.5,D,1055,
crackertom,2021,6,13,12,31.6131,-81.14142,GHBR,JLO,PC,50,48,D,1005,
crackertom,2021,6,13,13,31.6036,-81.1333,LJR,RNG,FC,50,48.5,D-F,1114,
crackertom,2021,6,13,14,31.6092,-81.1435,LJR,RNG,FC,50,49,D,10:50,
crackertom,2021,6,13,15,31.6071,-81.1448,LJR,RNG,PC,100,97.3,D-F,915,
crackertom,2021,6,13,16,31.6085,-81.143917,LJR,RNG,FC,50,49.1,D,1039,
crackertom,2021,6,13,17,31.6029,-81.1466,ALM,NKD,PC,50,49.5,D,9:51,
crackertom,2021,6,13,18,31.6017,-81.1472,ALM,NKD,PC,50,50,B,10:39,
crackertom,2021,6,13,19,31.6012,-81.1474,NKD,ALM,C,50,49.5,F,1108,
crackertom,2021,6,13,20,31.6003,-81.1479,NKD,ALM,C,50,47.6,D-F,1128,
middle,2021,6,16,1,31.6532,-81.13684,RCT,GRG,PC,50,41.5,D,8:05,
middle,2021,6,16,2,31.6523,-81.136389,RCT,GRG,PC,50,43.6,D,8:25,
middle,2021,6,16,3,31.6514,-81.134722,RCT,GRG,PC,50,41.85,D,8:36,
middle,2021,6,16,4,31.6501,-81.136111,RCT,GRG,PC,50,43.35,D,8:48,
middle,2021,6,16,5,31.6466,-81.13583,GHBR,JLO,PC,50,36.6,D-M,8:22,
middle,2021,6,16,6,31.6472,-81.135833,JLO,GHBR,PC,50,39.6,D-M,8:38,
middle,2021,6,16,7,31.6488,-81.13611,GHBR ,JLO,PC,50,38.7,D-M,8:50,
middle,2021,6,16,8,31.6496,-81.136111,JLO,GHBR,PC,50,39.65,D-M,9:06,
middle,2021,6,16,9,31.646,-81.136,RNG,LJR,PC,50,40.18,D,9:01,
middle,2021,6,16,10,31.6451,-81.1358,RNG,LJR,PC,50,30.34,D,8:51,
middle,2021,6,16,11,31.6432,-81.1353,RNG,LJR,PC,85,56.58,D,8:19,
middle,2021,6,16,12,31.6444,-81.1356,RNG,LJR,PC,50,46.74,D,8:45,
